"meter_id","final_date"
"0x05620bbf63dc8730eaf663a3634d5bc95595d8c5","2017-12-30"
"0x0cccf4ed9c731495f4156884240dd4d74e471ba2","2017-12-30"
"0x101f2dc409b3b95d2bb08ebe5d282f54317e3f8c","2017-12-17"
"0x351692a448aaad54213b7c951aed6d26d376b12a","2017-12-26"
"0x41d66a2fd79e73bceefc597d54d53f1d5b90be4a","2017-12-30"
"0x45675acce79cae0a11569ac98c4ee0d199736b87","2017-12-30"
"0x4dd7140b3e4911a17ab45b6c4d83cda08caa1712","2017-12-30"
"0x529760d76fb0a77277f6562536450dbacdee996a","2017-12-28"
"0x5fd785d6f96c8a2fa4d6a234a025f1759c771fab","2017-12-26"
"0x64b8c40ea797ee2ed3c1c57a3877494f0f28def1","2017-12-30"
"0x7d06a88daa0ed4b7d659210a4e2b5e39b98842b6","2017-12-26"
"0x834b4e5551f0c72d3fd5943a6340de1848850f92","2017-12-28"
"0x837c2bcce5153dd9091597548d59df719fc881db","2017-12-30"
"0x85acce4007c7d2f49520bd9f0974a278550e1609","2017-12-30"
"0xb209b605a76131af886cca9003bc5fd39156439b","2017-12-30"
"0xbfabb20b266d53d705137593347cee145571eda8","2017-12-30"
"0xc459e6cf4f28d33ccd848c24eb542636a80726b3","2017-12-30"
"0xde852cb9e5a86dfd1b60c9e97dc78cbd0fa7e3d2","2017-12-30"
"0xdea3406d16d8b6a4e7ce6250e9a6ab6aaac2202f","2017-12-30"
"0xebb7c3c50106987b21ba84a7cf457c678271735d","2017-12-28"
"0xfab6b686df5c3f9f97d79d9aefb032cfcce74971","2017-12-23"
"0xfb58b1e3bcd52ff17cbaee1019c765eba6122f17","2017-12-30"
